Step,Avg_Energy,Alive_Nodes,Dead_Nodes,EDF_Noise,Mode,PSR(%),Avg_Retries,Dominant_DR,Active_Model
0,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
1,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
2,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
3,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
4,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
5,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
6,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
7,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
8,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
9,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
10,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
11,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
12,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
13,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
13,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
14,998.24,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
15,996.47,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
16,994.71,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
17,992.94,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
18,991.18,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
19,989.41,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
20,987.65,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
21,985.89,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
22,984.12,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
23,982.36,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
24,980.59,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
25,978.83,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
26,977.06,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
27,975.30,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
28,973.54,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
29,971.77,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
30,970.01,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
31,968.24,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
32,966.48,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
33,964.71,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
34,962.95,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
35,961.19,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
36,959.42,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
37,957.66,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
38,955.89,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
39,954.13,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
40,952.36,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
41,950.60,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
42,948.84,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
43,947.07,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
44,945.31,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
45,943.54,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
46,941.78,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
47,940.01,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
48,938.25,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
49,936.48,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
50,934.72,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
51,932.96,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
52,931.19,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
53,929.43,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
54,927.66,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
55,925.90,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
56,924.13,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
57,922.37,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
58,920.61,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
59,918.84,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
60,917.08,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
61,915.31,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
62,913.55,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
63,911.78,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
64,910.02,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E500_T1000_20260508_150952.pth
