Step,Avg_Energy,Alive_Nodes,Dead_Nodes,EDF_Noise,Mode,PSR(%),Avg_Retries,Dominant_DR,Active_Model
0,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
1,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
2,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
3,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
4,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
5,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
6,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
7,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
8,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
9,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
10,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
11,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
12,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
13,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
14,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
15,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
16,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
17,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
18,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
19,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
20,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
21,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
22,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
23,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
24,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
25,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
26,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
27,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
28,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
29,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
30,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
31,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
32,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
33,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
34,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
35,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
36,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
37,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
38,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
39,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
40,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
41,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
42,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
43,1000.00,50,0,0,GREEDY,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
