Step,Avg_Energy,Alive_Nodes,Dead_Nodes,EDF_Noise,Mode,PSR(%),Avg_Retries,Dominant_DR,Active_Model
0,1000.00,50,0,0,GREEDY,100.00,0.26,medium,wsn_dqn_E500_T1000_20260526_082639.pth
1,1000.00,50,0,0,GREEDY,100.00,0.20,medium,wsn_dqn_E500_T1000_20260526_082639.pth
2,1000.00,50,0,0,GREEDY,100.00,0.26,medium,wsn_dqn_E500_T1000_20260526_082639.pth
3,1000.00,50,0,0,GREEDY,100.00,0.40,medium,wsn_dqn_E500_T1000_20260526_082639.pth
4,1000.00,50,0,0,GREEDY,100.00,0.16,medium,wsn_dqn_E500_T1000_20260526_082639.pth
5,1000.00,50,0,0,GREEDY,100.00,0.10,medium,wsn_dqn_E500_T1000_20260526_082639.pth
6,1000.00,50,0,0,GREEDY,100.00,0.22,medium,wsn_dqn_E500_T1000_20260526_082639.pth
7,1000.00,50,0,0,GREEDY,100.00,0.18,medium,wsn_dqn_E500_T1000_20260526_082639.pth
7,1000.00,50,0,0,GREEDY,100.00,0.44,medium,wsn_dqn_E500_T1000_20260526_082639.pth
8,998.24,50,0,0,GREEDY,100.00,0.26,medium,wsn_dqn_E500_T1000_20260526_082639.pth
9,996.47,50,0,0,GREEDY,100.00,0.18,medium,wsn_dqn_E500_T1000_20260526_082639.pth
10,994.71,50,0,0,GREEDY,100.00,0.26,medium,wsn_dqn_E500_T1000_20260526_082639.pth
11,992.94,50,0,0,GREEDY,100.00,0.08,medium,wsn_dqn_E500_T1000_20260526_082639.pth
12,991.18,50,0,0,GREEDY,100.00,0.12,medium,wsn_dqn_E500_T1000_20260526_082639.pth
13,989.41,50,0,0,GREEDY,100.00,0.14,medium,wsn_dqn_E500_T1000_20260526_082639.pth
14,987.65,50,0,0,GREEDY,100.00,0.26,medium,wsn_dqn_E500_T1000_20260526_082639.pth
15,985.89,50,0,0,GREEDY,100.00,0.32,medium,wsn_dqn_E500_T1000_20260526_082639.pth
16,984.12,50,0,0,GREEDY,100.00,0.26,medium,wsn_dqn_E500_T1000_20260526_082639.pth
17,982.36,50,0,0,GREEDY,100.00,0.08,medium,wsn_dqn_E500_T1000_20260526_082639.pth
18,980.59,50,0,0,GREEDY,100.00,0.14,medium,wsn_dqn_E500_T1000_20260526_082639.pth
19,978.83,50,0,0,GREEDY,100.00,0.10,medium,wsn_dqn_E500_T1000_20260526_082639.pth
20,977.06,50,0,0,GREEDY,100.00,0.16,medium,wsn_dqn_E500_T1000_20260526_082639.pth
21,975.30,50,0,0,GREEDY,100.00,0.28,medium,wsn_dqn_E500_T1000_20260526_082639.pth
22,973.54,50,0,0,GREEDY,100.00,0.12,medium,wsn_dqn_E500_T1000_20260526_082639.pth
23,971.77,50,0,0,GREEDY,100.00,0.20,medium,wsn_dqn_E500_T1000_20260526_082639.pth
24,970.01,50,0,0,GREEDY,100.00,0.12,medium,wsn_dqn_E500_T1000_20260526_082639.pth
25,968.24,50,0,0,GREEDY,100.00,0.20,medium,wsn_dqn_E500_T1000_20260526_082639.pth
26,966.48,50,0,0,GREEDY,100.00,0.20,medium,wsn_dqn_E500_T1000_20260526_082639.pth
27,964.71,50,0,0,GREEDY,100.00,0.28,medium,wsn_dqn_E500_T1000_20260526_082639.pth
28,962.95,50,0,0,GREEDY,100.00,0.22,medium,wsn_dqn_E500_T1000_20260526_082639.pth
29,961.19,50,0,0,GREEDY,100.00,0.14,medium,wsn_dqn_E500_T1000_20260526_082639.pth
30,959.42,50,0,0,GREEDY,100.00,0.22,medium,wsn_dqn_E500_T1000_20260526_082639.pth
31,957.66,50,0,0,GREEDY,100.00,0.28,medium,wsn_dqn_E500_T1000_20260526_082639.pth
32,955.89,50,0,0,GREEDY,100.00,0.10,medium,wsn_dqn_E500_T1000_20260526_082639.pth
33,954.13,50,0,0,GREEDY,100.00,0.14,medium,wsn_dqn_E500_T1000_20260526_082639.pth
34,952.36,50,0,0,GREEDY,100.00,0.22,medium,wsn_dqn_E500_T1000_20260526_082639.pth
35,950.60,50,0,0,GREEDY,100.00,0.12,medium,wsn_dqn_E500_T1000_20260526_082639.pth
36,948.84,50,0,0,GREEDY,100.00,0.24,medium,wsn_dqn_E500_T1000_20260526_082639.pth
37,947.07,50,0,0,GREEDY,100.00,0.12,medium,wsn_dqn_E500_T1000_20260526_082639.pth
38,945.31,50,0,0,GREEDY,100.00,0.18,medium,wsn_dqn_E500_T1000_20260526_082639.pth
39,943.54,50,0,0,GREEDY,100.00,0.32,medium,wsn_dqn_E500_T1000_20260526_082639.pth
